,Time,Open,High,Low,Close,Volume,ema_3,ema_5,ema_8,ema_13,Adx,DI+,DI-,BB+,BB-,ATR
0,2022-10-06 01:00:00,0.4929,0.4957,0.4928,0.4955,28217209.0000,,,,,0.0000,0.0000,0.0000,,,0.0000
1,2022-10-06 01:15:00,0.4955,0.4982,0.4953,0.4959,40000424.2000,,,,,0.0000,0.0000,0.0000,,,0.0000
2,2022-10-06 01:30:00,0.4959,0.4972,0.4946,0.4955,25898823.6000,0.4956,,,,0.0000,0.0000,0.0000,,,0.0000
3,2022-10-06 01:45:00,0.4955,0.4971,0.4928,0.4965,37412342.9000,0.4960,,,,0.0000,0.0000,0.0000,,,0.0000
4,2022-10-06 02:00:00,0.4965,0.4973,0.4943,0.4954,27437243.5000,0.4958,0.4958,,,0.0000,0.0000,0.0000,,,0.0000
5,2022-10-06 02:15:00,0.4955,0.4962,0.4929,0.4934,27864461.1000,0.4951,0.4953,,,0.0000,0.0000,0.0000,,,0.0000
6,2022-10-06 02:30:00,0.4934,0.4951,0.4926,0.4947,18544288.1000,0.4945,0.4951,,,0.0000,0.0000,0.0000,,,0.0000
7,2022-10-06 02:45:00,0.4947,0.4968,0.4947,0.4953,21689283.5000,0.4945,0.4951,0.4953,,0.0000,0.0000,0.0000,,,0.0000
8,2022-10-06 03:00:00,0.4953,0.4963,0.4943,0.4957,16318598.4000,0.4952,0.4949,0.4953,,0.0000,0.0000,0.0000,,,0.0000
9,2022-10-06 03:15:00,0.4957,0.4958,0.4938,0.4950,14022255.9000,0.4953,0.4948,0.4952,,0.0000,0.0000,0.0000,,,0.0000
10,2022-10-06 03:30:00,0.4950,0.4967,0.4943,0.4961,13536250.8000,0.4956,0.4954,0.4953,,0.0000,0.0000,0.0000,,,0.0000
11,2022-10-06 03:45:00,0.4961,0.4973,0.4956,0.4972,17823183.4000,0.4961,0.4959,0.4954,,0.0000,0.0000,0.0000,,,0.0000
12,2022-10-06 04:00:00,0.4971,0.4990,0.4961,0.4975,35341331.2000,0.4969,0.4963,0.4956,0.4957,0.0000,0.0000,0.0000,,,0.0000
13,2022-10-06 04:15:00,0.4975,0.4980,0.4963,0.4973,18074447.4000,0.4973,0.4966,0.4961,0.4958,0.0000,0.0000,0.0000,,,0.0026
14,2022-10-06 04:30:00,0.4972,0.5059,0.4972,0.5034,130261405.8000,0.4994,0.4983,0.4972,0.4964,0.0000,0.0000,0.0000,,,0.0030
15,2022-10-06 04:45:00,0.5034,0.5055,0.5008,0.5014,50780482.1000,0.5007,0.4994,0.4979,0.4968,0.0000,32.8658,10.8139,,,0.0031
16,2022-10-06 05:00:00,0.5014,0.5030,0.5005,0.5016,39957548.0000,0.5021,0.5002,0.4987,0.4972,0.0000,30.9623,10.8826,,,0.0031
17,2022-10-06 05:15:00,0.5017,0.5040,0.5011,0.5013,39051670.9000,0.5014,0.5010,0.4995,0.4977,0.0000,31.1998,10.1483,,,0.0031
18,2022-10-06 05:30:00,0.5013,0.5032,0.5007,0.5016,26733805.9000,0.5015,0.5019,0.5002,0.4983,0.0000,29.3607,10.4933,,,0.0030
